user_id,most_active_type,event_count,user_id,name,email,age,gender,signup_date,day_been_user
user_061,logout,27,user_061,"Nicole Duncan",michaelscott@burke.net,43,Male,"2025-04-11 00:00:00",187
user_062,click_ad,26,user_062,"Virginia Barton",zhill@gmail.com,51,Female,"2025-05-04 00:00:00",164
user_063,click_ad,23,user_063,"Timothy Roy",kylesanchez@yahoo.com,27,Female,"2025-04-26 00:00:00",172
user_064,purchase,29,user_064,"Michael Dennis",ihenry@king.org,53,Male,"2025-04-26 00:00:00",172
user_065,logout,30,user_065,"Melissa Ryan",avilamatthew@yahoo.com,31,Other,"2025-04-30 00:00:00",168
user_066,"click_ad,purchase",26,user_066,"Melissa Morton",wmeyers@adams.net,48,Male,"2025-03-10 00:00:00",219
user_067,purchase,30,user_067,"Mr. David Charles",jenniferwagner@yahoo.com,32,Other,"2025-04-19 00:00:00",179
user_068,"logout,purchase",30,user_068,"Olivia Cabrera",hutchinsondavid@martinez.com,25,Male,"2025-04-19 00:00:00",179
user_069,view_content,26,user_069,"Anthony Johnson",crawfordhayley@nielsen-brown.net,31,Male,"2025-04-07 00:00:00",191
user_070,view_content,21,user_070,"Terri Morgan",xrivas@hotmail.com,40,Male,"2025-04-15 00:00:00",183
user_071,purchase,24,user_071,"Amy Gonzales",tiffanycunningham@hotmail.com,57,Female,"2025-04-15 00:00:00",183
user_072,logout,14,user_072,"Suzanne Hernandez",bobby38@gmail.com,38,Female,"2025-04-11 00:00:00",187
user_073,login,10,user_073,"Mr. William Mills PhD",christopher09@hotmail.com,33,Female,"2025-03-28 00:00:00",201
user_074,"logout,click_ad",19,user_074,"Cynthia Perez",jwilson@flores-duran.com,35,Male,"2025-04-10 00:00:00",188
user_075,"purchase,view_content",26,user_075,"Adam Williams",angela80@bernard-roberts.com,41,Female,"2025-04-09 00:00:00",189
user_076,purchase,15,user_076,"Tyler Jensen",jasonhunter@wright.com,43,Female,"2025-04-13 00:00:00",185
user_077,click_ad,9,user_077,"Laura Walker",sarahturner@lopez.com,42,Male,"2025-03-26 00:00:00",203
user_078,login,5,user_078,"Valerie Lambert",sayala@roth-taylor.com,58,Male,"2025-04-03 00:00:00",195
user_079,"purchase,login",12,user_079,"Lori Meyer",lmartin@montes.com,46,Male,"2025-04-10 00:00:00",188
user_080,login,25,user_080,"David Santiago",erikajohnson@hotmail.com,32,Female,"2025-04-12 00:00:00",186
user_081,login,16,user_081,"Christopher Torres",christianjones@yahoo.com,18,Female,"2025-04-26 00:00:00",172
user_082,view_content,16,user_082,"Heather Brown",curtiswendy@yahoo.com,42,Other,"2025-03-21 00:00:00",208
user_083,login,9,user_083,"Katie Martin",evanbarton@martinez.info,24,Male,"2025-04-22 00:00:00",176
user_084,logout,11,user_084,"Christina Randall",jonathanmiller@stokes.com,26,Female,"2025-04-08 00:00:00",190
user_085,logout,8,user_085,"Jesse Stewart",robertstimothy@wilson.org,41,Female,"2025-04-24 00:00:00",174
user_086,"purchase,login",10,user_086,"Adrienne Campbell",jameswhitaker@pena.com,18,Male,"2025-03-26 00:00:00",203
user_087,login,17,user_087,"Terry Adams",ryancook@williams.com,25,Female,"2025-04-18 00:00:00",180
user_088,logout,24,user_088,"Noah Moreno",kellyjackson@walker.info,41,Female,"2025-04-11 00:00:00",187
user_089,login,19,user_089,"Cathy Johnson",victor13@hotmail.com,28,Female,"2025-04-06 00:00:00",192
user_090,"view_content,login",7,user_090,"Heather Andrews",dianecruz@brooks.com,34,Male,"2025-03-23 00:00:00",206
user_091,click_ad,27,user_091,"William Russell",johnsonlaura@hotmail.com,25,Male,"2025-03-19 00:00:00",210
user_092,login,12,user_092,"Sara Weaver",jwilliams@hotmail.com,52,Female,"2025-03-19 00:00:00",210
user_093,"login,view_content",24,user_093,"Morgan Sheppard",luiswilliams@guerrero-conway.com,52,Female,"2025-04-22 00:00:00",176
user_094,click_ad,20,user_094,"Anthony Barrera",ethomas@gmail.com,50,Male,"2025-04-14 00:00:00",184
user_095,login,17,user_095,"Jack Phillips",owhite@hotmail.com,22,Male,"2025-03-23 00:00:00",206
user_096,login,22,user_096,"Ronald Vaughn",taylor40@yahoo.com,59,Other,"2025-04-02 00:00:00",196
user_097,click_ad,14,user_097,"Derek Walker",rogerstevens@gmail.com,56,Male,"2025-05-04 00:00:00",164
user_098,view_content,23,user_098,"Dylan Burns",stacey13@lane.com,58,Female,"2025-03-15 00:00:00",214
user_099,"view_content,login",21,user_099,"April Downs MD",castillobrandon@mccall-sanchez.org,45,Female,"2025-04-02 00:00:00",196
user_100,login,28,user_100,"Tiffany Weiss",gkelly@gmail.com,24,Female,"2025-04-03 00:00:00",195
